thread,action,start,end
2,updateVehicle,1684248797767,1684248798180
2,updateVehicle,1684248798180,1684248798569
2,updateVehicle,1684248798569,1684248798900
2,updateVehicle,1684248798901,1684248799303
2,addVehicle,1684248799303,1684248799672
2,updateVehicle,1684248799672,1684248800048
2,updateVehicle,1684248800048,1684248800421
2,updateVehicle,1684248800421,1684248800778
2,updateVehicle,1684248800778,1684248801154
2,updateVehicle,1684248801154,1684248801469
2,addVehicle,1684248801469,1684248801861
2,updateVehicle,1684248801862,1684248802181
2,updateVehicle,1684248802181,1684248802492
2,addVehicle,1684248802492,1684248802825
2,updateVehicle,1684248802825,1684248803166
2,updateVehicle,1684248803166,1684248803619
2,updateVehicle,1684248803619,1684248803961
2,updateVehicle,1684248803961,1684248804287
2,updateVehicle,1684248804287,1684248804633
2,updateVehicle,1684248804633,1684248804971
2,updateVehicle,1684248804971,1684248805406
2,updateVehicle,1684248805406,1684248805759
2,updateVehicle,1684248805759,1684248806081
2,updateVehicle,1684248806081,1684248806601
2,addVehicle,1684248806601,1684248806970
2,updateVehicle,1684248806970,1684248807299
2,updateVehicle,1684248807299,1684248807671
2,updateVehicle,1684248807671,1684248807999
2,updateVehicle,1684248807999,1684248808341
2,updateVehicle,1684248808341,1684248808672
2,updateVehicle,1684248808673,1684248809011
2,addVehicle,1684248809011,1684248809440
2,updateVehicle,1684248809440,1684248809772
2,updateVehicle,1684248809772,1684248810111
2,addVehicle,1684248810111,1684248810487
2,updateVehicle,1684248810488,1684248810814
2,updateVehicle,1684248810814,1684248811201
2,updateVehicle,1684248811201,1684248811557
2,updateVehicle,1684248811558,1684248811903
2,updateVehicle,1684248811903,1684248812250
2,updateVehicle,1684248812250,1684248812593
2,updateVehicle,1684248812593,1684248813016
2,updateVehicle,1684248813017,1684248813361
2,addVehicle,1684248813361,1684248813725
2,updateVehicle,1684248813725,1684248814075
2,updateVehicle,1684248814075,1684248814429
2,updateVehicle,1684248814429,1684248814812
2,updateVehicle,1684248814812,1684248815170
2,updateVehicle,1684248815170,1684248815522
2,updateVehicle,1684248815522,1684248815872
2,updateVehicle,1684248815872,1684248816209
2,addVehicle,1684248816209,1684248816569
2,updateVehicle,1684248816570,1684248816999
2,updateVehicle,1684248816999,1684248817339
2,updateVehicle,1684248817339,1684248817707
2,addVehicle,1684248817707,1684248818105
2,updateVehicle,1684248818105,1684248818445
2,updateVehicle,1684248818445,1684248818849
2,updateVehicle,1684248818849,1684248819281
2,addVehicle,1684248819281,1684248819587
2,updateVehicle,1684248819588,1684248819969
2,updateVehicle,1684248819969,1684248820305
2,updateVehicle,1684248820305,1684248820717
2,updateVehicle,1684248820717,1684248821054
2,updateVehicle,1684248821054,1684248821338
2,updateVehicle,1684248821339,1684248821688
2,updateVehicle,1684248821688,1684248822120
2,updateVehicle,1684248822120,1684248822508
2,addVehicle,1684248822508,1684248822894
2,updateVehicle,1684248822894,1684248823254
2,updateVehicle,1684248823254,1684248823577
2,updateVehicle,1684248823578,1684248823941
2,updateVehicle,1684248823941,1684248824264
2,updateVehicle,1684248824264,1684248824610
2,updateVehicle,1684248824610,1684248824948
2,updateVehicle,1684248824948,1684248825329
2,updateVehicle,1684248825329,1684248825741
2,addVehicle,1684248825741,1684248826086
2,updateVehicle,1684248826086,1684248826426
2,updateVehicle,1684248826426,1684248826770
2,updateVehicle,1684248826770,1684248827155
2,updateVehicle,1684248827155,1684248827531
2,updateVehicle,1684248827531,1684248827883
2,updateVehicle,1684248827883,1684248828253
2,addVehicle,1684248828253,1684248828607
2,updateVehicle,1684248828607,1684248828953
2,updateVehicle,1684248828954,1684248829311
2,updateVehicle,1684248829311,1684248829644
2,updateVehicle,1684248829644,1684248829981
2,updateVehicle,1684248829981,1684248830336
2,updateVehicle,1684248830336,1684248830734
2,addVehicle,1684248830734,1684248831081
2,updateVehicle,1684248831081,1684248831423
2,updateVehicle,1684248831423,1684248831763
2,updateVehicle,1684248831764,1684248832124
2,updateVehicle,1684248832124,1684248832526
2,updateVehicle,1684248832526,1684248832896
2,updateVehicle,1684248832896,1684248833254
2,updateVehicle,1684248833254,1684248833626
2,updateVehicle,1684248833626,1684248833967
2,updateVehicle,1684248833967,1684248834401
2,addVehicle,1684248834401,1684248834746
2,updateVehicle,1684248834746,1684248835068
2,updateVehicle,1684248835068,1684248835390
2,updateVehicle,1684248835390,1684248835790
2,updateVehicle,1684248835790,1684248836155
2,updateVehicle,1684248836155,1684248836518
2,updateVehicle,1684248836518,1684248836869
2,updateVehicle,1684248836869,1684248837212
2,addVehicle,1684248837212,1684248837625
2,updateVehicle,1684248837625,1684248838000
2,updateVehicle,1684248838000,1684248838344
2,updateVehicle,1684248838344,1684248838674
2,updateVehicle,1684248838674,1684248839027
2,updateVehicle,1684248839027,1684248839451
2,updateVehicle,1684248839452,1684248839786
2,updateVehicle,1684248839786,1684248840152
2,addVehicle,1684248840152,1684248840519
2,updateVehicle,1684248840519,1684248840893
2,updateVehicle,1684248840893,1684248841553
2,addVehicle,1684248841554,1684248841905
2,updateVehicle,1684248841905,1684248842219
2,updateVehicle,1684248842219,1684248842576
2,updateVehicle,1684248842576,1684248842896
2,updateVehicle,1684248842896,1684248843317
2,updateVehicle,1684248843317,1684248843663
2,updateVehicle,1684248843663,1684248844019
2,updateVehicle,1684248844019,1684248844328
2,updateVehicle,1684248844328,1684248844673
2,addVehicle,1684248844673,1684248845117
2,updateVehicle,1684248845117,1684248845429
2,updateVehicle,1684248845429,1684248845764
2,updateVehicle,1684248845764,1684248846098
2,updateVehicle,1684248846098,1684248846472
2,updateVehicle,1684248846472,1684248846818
2,updateVehicle,1684248846818,1684248847148
2,addVehicle,1684248847148,1684248847504
2,updateVehicle,1684248847504,1684248847849
2,updateVehicle,1684248847849,1684248848236
2,updateVehicle,1684248848236,1684248848719
2,updateVehicle,1684248848719,1684248849149
2,updateVehicle,1684248849149,1684248849524
2,updateVehicle,1684248849524,1684248849905
2,updateVehicle,1684248849905,1684248850248
2,updateVehicle,1684248850249,1684248850541
2,updateVehicle,1684248850541,1684248850841
2,addVehicle,1684248850842,1684248851172
2,updateVehicle,1684248851172,1684248851523
2,updateVehicle,1684248851523,1684248851869
2,addVehicle,1684248851869,1684248852202
2,updateVehicle,1684248852202,1684248852548
2,updateVehicle,1684248852549,1684248852943
2,updateVehicle,1684248852943,1684248853286
2,updateVehicle,1684248853286,1684248853645
2,updateVehicle,1684248853645,1684248853976
2,addVehicle,1684248853976,1684248854316
2,updateVehicle,1684248854316,1684248854652
2,updateVehicle,1684248854652,1684248854995
2,updateVehicle,1684248854995,1684248855380
2,updateVehicle,1684248855381,1684248855741
2,updateVehicle,1684248855741,1684248856088
2,updateVehicle,1684248856089,1684248856451
2,addVehicle,1684248856451,1684248856794
2,updateVehicle,1684248856794,1684248857163
2,updateVehicle,1684248857163,1684248857510
2,updateVehicle,1684248857510,1684248857881
2,updateVehicle,1684248857882,1684248858207
2,updateVehicle,1684248858207,1684248858592
2,updateVehicle,1684248858592,1684248858967
2,updateVehicle,1684248858967,1684248859288
2,updateVehicle,1684248859288,1684248859608
2,updateVehicle,1684248859608,1684248859924
2,updateVehicle,1684248859924,1684248860310
2,addVehicle,1684248860310,1684248860653
2,updateVehicle,1684248860653,1684248860956
2,updateVehicle,1684248860956,1684248861287
2,updateVehicle,1684248861287,1684248861631
2,updateVehicle,1684248861631,1684248862262
2,addVehicle,1684248862262,1684248862594
2,updateVehicle,1684248862594,1684248862911
2,updateVehicle,1684248862911,1684248863244
2,updateVehicle,1684248863245,1684248863607
2,updateVehicle,1684248863607,1684248863964
2,updateVehicle,1684248863964,1684248864335
2,updateVehicle,1684248864335,1684248864671
2,addVehicle,1684248864671,1684248865026
2,updateVehicle,1684248865027,1684248865367
2,updateVehicle,1684248865367,1684248865754
2,updateVehicle,1684248865754,1684248866124
2,updateVehicle,1684248866124,1684248866486
2,updateVehicle,1684248866486,1684248866806
2,updateVehicle,1684248866806,1684248867133
2,updateVehicle,1684248867133,1684248867516
2,updateVehicle,1684248867516,1684248867879
